epoch,step,test_mae,train_loss_epoch,train_loss_step,train_mae,val_loss,val_mae
0,4,,,68.45735168457031,,,
0,9,,,68.17263793945312,,,
0,14,,,70.40961456298828,,,
0,19,,,65.8447036743164,,,
0,24,,,69.37379455566406,,,
0,25,,,,,67.58489227294922,43.45964813232422
0,25,,67.96226501464844,,43.550010681152344,,
1,29,,,63.81624221801758,,,
1,34,,,65.0675048828125,,,
1,39,,,71.6980972290039,,,
1,44,,,64.82479858398438,,,
1,49,,,77.59847259521484,,,
1,51,,,,,66.94342041015625,43.06594467163086
1,51,,67.41485595703125,,43.208412170410156,,
2,54,,,68.88801574707031,,,
2,59,,,64.514892578125,,,
2,64,,,64.07696533203125,,,
2,69,,,63.90753173828125,,,
2,74,,,69.66446685791016,,,
2,77,,,,,65.87242889404297,42.40911865234375
2,77,,66.81803131103516,,42.84755325317383,,
3,79,,,68.77728271484375,,,
3,84,,,66.20802307128906,,,
3,89,,,68.1594009399414,,,
3,94,,,72.19338989257812,,,
3,99,,,73.3427734375,,,
3,103,,,,,64.84971618652344,41.80820083618164
3,103,,66.08936309814453,,42.42323684692383,,
4,104,,,60.042564392089844,,,
4,109,,,61.09035873413086,,,
4,114,,,74.88685607910156,,,
4,119,,,61.65032196044922,,,
4,124,,,64.63675689697266,,,
4,129,,,65.25515747070312,,,
4,129,,,,,63.79053497314453,41.18822479248047
4,129,,65.20929718017578,,41.913414001464844,,
5,134,,,64.44947814941406,,,
5,139,,,69.83053588867188,,,
5,144,,,67.74271392822266,,,
5,149,,,66.82476806640625,,,
5,154,,,60.78093338012695,,,
5,155,,,,,62.67790985107422,40.53577423095703
5,155,,64.13330078125,,41.287071228027344,,
6,159,,,57.89435958862305,,,
6,164,,,70.18199157714844,,,
6,169,,,59.55082321166992,,,
6,174,,,67.29251861572266,,,
6,179,,,68.96199798583984,,,
6,181,,,,,60.9991455078125,39.532100677490234
6,181,,62.769405364990234,,40.479469299316406,,
7,184,,,58.53976821899414,,,
7,189,,,62.64548110961914,,,
7,194,,,58.303741455078125,,,
7,199,,,61.24879837036133,,,
7,204,,,63.524322509765625,,,
7,207,,,,,59.23311996459961,38.47142028808594
7,207,,61.178592681884766,,39.537593841552734,,
8,209,,,60.670265197753906,,,
8,214,,,64.39602661132812,,,
8,219,,,63.626800537109375,,,
8,224,,,59.898963928222656,,,
8,229,,,53.00904846191406,,,
8,233,,,,,56.57484817504883,36.87223434448242
8,233,,59.39206314086914,,38.46027755737305,,
9,234,,,58.29625701904297,,,
9,239,,,55.2846794128418,,,
9,244,,,58.809844970703125,,,
9,249,,,57.594703674316406,,,
9,254,,,48.548038482666016,,,
9,259,,,60.98739242553711,,,
9,259,,,,,55.015724182128906,35.94470977783203
