epoch,step,test_mae,train_loss_epoch,train_loss_step,train_mae,val_loss,val_mae
0,4,,,46.2366943359375,,,
0,9,,,40.105587005615234,,,
0,14,,,44.89384078979492,,,
0,19,,,41.99360656738281,,,
0,24,,,44.525482177734375,,,
0,29,,,44.03607177734375,,,
0,34,,,41.47674560546875,,,
0,39,,,40.31075668334961,,,
0,44,,,41.406105041503906,,,
0,49,,,47.810394287109375,,,
0,54,,,41.04422378540039,,,
0,59,,,46.803794860839844,,,
0,64,,,42.93293762207031,,,
0,69,,,44.08442687988281,,,
0,74,,,43.56205368041992,,,
0,76,,,,,43.14128494262695,43.64128494262695
0,76,,43.0001220703125,,43.5001220703125,,
1,79,,,41.57041549682617,,,
1,84,,,42.825599670410156,,,
1,89,,,39.360145568847656,,,
1,94,,,41.56843566894531,,,
1,99,,,43.222740173339844,,,
1,104,,,43.50202178955078,,,
1,109,,,39.032569885253906,,,
1,114,,,41.380859375,,,
1,119,,,43.97535705566406,,,
1,124,,,38.92461395263672,,,
1,129,,,43.40667724609375,,,
1,134,,,44.136592864990234,,,
1,139,,,43.305721282958984,,,
1,144,,,44.319007873535156,,,
1,149,,,42.61572265625,,,
1,153,,,,,42.705718994140625,43.205718994140625
1,153,,42.68976974487305,,43.18977355957031,,
2,154,,,40.254600524902344,,,
2,159,,,40.348358154296875,,,
2,164,,,44.20246505737305,,,
2,169,,,42.390380859375,,,
2,174,,,42.01221466064453,,,
2,179,,,44.471988677978516,,,
2,184,,,47.564422607421875,,,
2,189,,,41.792415618896484,,,
2,194,,,40.48160171508789,,,
2,199,,,38.564361572265625,,,
2,204,,,41.59967041015625,,,
2,209,,,44.31333923339844,,,
2,214,,,41.670074462890625,,,
2,219,,,42.957481384277344,,,
2,224,,,41.140750885009766,,,
2,229,,,42.960777282714844,,,
2,230,,,,,42.315467834472656,42.815467834472656
2,230,,42.31278610229492,,42.81278991699219,,
3,234,,,44.77099609375,,,
3,239,,,41.45475769042969,,,
3,244,,,42.136322021484375,,,
3,249,,,43.139488220214844,,,
3,254,,,42.934852600097656,,,
3,259,,,40.94941711425781,,,
3,264,,,38.364234924316406,,,
3,269,,,44.37885665893555,,,
3,274,,,40.58319854736328,,,
3,279,,,42.119361877441406,,,
3,284,,,45.478668212890625,,,
3,289,,,41.380470275878906,,,
3,294,,,41.30845642089844,,,
3,299,,,41.186767578125,,,
3,304,,,42.295013427734375,,,
3,307,,,,,41.8564567565918,42.3564567565918
3,307,,41.971744537353516,,42.471744537353516,,
4,309,,,42.3515510559082,,,
4,314,,,41.21198272705078,,,
4,319,,,41.08694076538086,,,
4,324,,,42.85088348388672,,,
4,329,,,40.189605712890625,,,
4,334,,,38.612308502197266,,,
4,339,,,39.822227478027344,,,
4,344,,,42.32006072998047,,,
4,349,,,44.26652145385742,,,
4,354,,,39.86249542236328,,,
4,359,,,41.11578369140625,,,
4,364,,,43.47084426879883,,,
4,369,,,44.24768829345703,,,
4,374,,,43.697078704833984,,,
4,379,,,38.56774139404297,,,
4,384,,,40.73390197753906,,,
4,384,,,,,41.35988998413086,41.85988998413086
4,384,,41.62040710449219,,42.12040710449219,,
5,389,,,38.90593719482422,,,
5,394,,,38.47679901123047,,,
5,399,,,43.39409637451172,,,
5,404,,,42.406761169433594,,,
5,409,,,43.68894958496094,,,
5,414,,,40.213661193847656,,,
5,419,,,38.978660583496094,,,
5,424,,,39.07837677001953,,,
5,429,,,42.151641845703125,,,
5,434,,,43.294471740722656,,,
5,439,,,39.2105712890625,,,
5,444,,,40.56957244873047,,,
5,449,,,41.03855895996094,,,
5,454,,,43.44575119018555,,,
5,459,,,38.410728454589844,,,
5,461,,,,,40.697731018066406,41.197731018066406
5,461,,41.19265365600586,,41.69265365600586,,
6,464,,,44.89814758300781,,,
6,469,,,39.21849822998047,,,
6,474,,,43.633445739746094,,,
6,479,,,37.20647048950195,,,
6,484,,,42.44834899902344,,,
6,489,,,38.67091369628906,,,
6,494,,,37.542762756347656,,,
6,499,,,40.7496337890625,,,
6,504,,,39.5103759765625,,,
6,509,,,39.16834259033203,,,
6,514,,,40.54662322998047,,,
6,519,,,46.3306884765625,,,
6,524,,,40.564910888671875,,,
6,529,,,39.08628845214844,,,
6,534,,,41.108558654785156,,,
6,538,,,,,40.00667953491211,40.50667953491211
6,538,,40.718048095703125,,41.218048095703125,,
7,539,,,40.132591247558594,,,
7,544,,,39.9261474609375,,,
7,549,,,43.41838836669922,,,
7,554,,,44.801944732666016,,,
7,559,,,38.47745132446289,,,
7,564,,,40.813758850097656,,,
7,569,,,39.67633819580078,,,
7,574,,,37.9832763671875,,,
7,579,,,36.75380325317383,,,
7,584,,,40.517704010009766,,,
7,589,,,39.23857879638672,,,
7,594,,,40.56861114501953,,,
7,599,,,38.54369354248047,,,
7,604,,,36.15241241455078,,,
7,609,,,43.45630645751953,,,
7,614,,,40.352455139160156,,,
7,615,,,,,39.301795959472656,39.801795959472656
7,615,,40.168087005615234,,40.668087005615234,,
8,619,,,39.09526824951172,,,
8,624,,,39.74938201904297,,,
8,629,,,36.77898025512695,,,
8,634,,,41.877105712890625,,,
8,639,,,43.837345123291016,,,
8,644,,,40.28782272338867,,,
8,649,,,36.54771423339844,,,
8,654,,,37.14515686035156,,,
8,659,,,39.55066680908203,,,
8,664,,,41.184051513671875,,,
8,669,,,37.63910675048828,,,
8,674,,,43.07398223876953,,,
8,679,,,37.145442962646484,,,
8,684,,,40.998451232910156,,,
8,689,,,36.52532196044922,,,
8,692,,,,,38.60144805908203,39.10144805908203
8,692,,39.61761474609375,,40.11761474609375,,
9,694,,,34.54786682128906,,,
9,699,,,38.2815055847168,,,
9,704,,,34.954261779785156,,,
9,709,,,39.329803466796875,,,
9,714,,,43.092437744140625,,,
9,719,,,38.488853454589844,,,
9,724,,,41.38896179199219,,,
9,729,,,40.90028381347656,,,
9,734,,,40.169471740722656,,,
9,739,,,39.07958984375,,,
9,744,,,37.51160430908203,,,
9,749,,,40.9730110168457,,,
9,754,,,40.25209045410156,,,
9,759,,,35.12725067138672,,,
9,764,,,37.75091552734375,,,
9,769,,,32.33172607421875,,,
9,769,,,,,37.8760986328125,38.3760986328125
9,769,,39.03529739379883,,39.53529739379883,,
10,774,,,39.837608337402344,,,
10,779,,,42.29745101928711,,,
10,784,,,37.45155334472656,,,
10,789,,,40.47100830078125,,,
10,794,,,38.156185150146484,,,
10,799,,,37.02238845825195,,,
10,804,,,40.01641845703125,,,
10,809,,,38.60845947265625,,,
10,814,,,38.682655334472656,,,
10,819,,,40.132781982421875,,,
10,824,,,34.65818405151367,,,
10,829,,,42.091251373291016,,,
10,834,,,37.72039794921875,,,
10,839,,,37.83965301513672,,,
10,844,,,38.6650390625,,,
10,846,,,,,37.096763610839844,37.596588134765625
10,846,,38.425411224365234,,38.925411224365234,,
11,849,,,38.521575927734375,,,
11,854,,,40.115333557128906,,,
11,859,,,36.41339111328125,,,
11,864,,,36.07232666015625,,,
11,869,,,36.25164794921875,,,
11,874,,,40.89809799194336,,,
11,879,,,36.93711853027344,,,
11,884,,,37.28017044067383,,,
11,889,,,35.49388885498047,,,
11,894,,,39.9675178527832,,,
11,899,,,37.33306121826172,,,
11,904,,,34.45746612548828,,,
11,909,,,39.222896575927734,,,
11,914,,,36.127464294433594,,,
11,919,,,40.36389923095703,,,
11,923,,,,,36.35472869873047,36.85428237915039
11,923,,37.746707916259766,,38.246707916259766,,
12,924,,,39.25108337402344,,,
12,929,,,38.692535400390625,,,
12,934,,,37.66717529296875,,,
12,939,,,37.517578125,,,
12,944,,,39.923065185546875,,,
12,949,,,37.54587936401367,,,
12,954,,,36.25593566894531,,,
12,959,,,37.6662483215332,,,
12,964,,,37.09026336669922,,,
12,969,,,36.171363830566406,,,
12,974,,,38.21723937988281,,,
12,979,,,38.543922424316406,,,
12,984,,,37.8599853515625,,,
12,989,,,37.32114791870117,,,
12,994,,,39.50224685668945,,,
