epoch,step,test_mae,train_loss_epoch,train_loss_step,train_mae,val_loss,val_mae
0,4,,,49.072418212890625,,,
0,9,,,40.41086959838867,,,
0,14,,,44.32765197753906,,,
0,19,,,45.349205017089844,,,
0,24,,,45.9949951171875,,,
0,29,,,43.51698303222656,,,
0,34,,,44.25672149658203,,,
0,39,,,43.464805603027344,,,
0,44,,,45.0201301574707,,,
0,49,,,40.19603729248047,,,
0,54,,,42.804405212402344,,,
0,59,,,45.94254684448242,,,
0,64,,,44.34611892700195,,,
0,69,,,44.72276306152344,,,
0,74,,,40.982994079589844,,,
0,76,,,,,43.62714767456055,43.62714767456055
0,76,,43.48115921020508,,43.48115921020508,,
1,79,,,43.983238220214844,,,
1,84,,,42.25520324707031,,,
1,89,,,43.786888122558594,,,
1,94,,,41.288047790527344,,,
1,99,,,42.76193618774414,,,
1,104,,,45.377376556396484,,,
1,109,,,42.71943664550781,,,
1,114,,,44.02385330200195,,,
1,119,,,39.12507629394531,,,
1,124,,,41.93876647949219,,,
1,129,,,44.70436096191406,,,
1,134,,,44.29468536376953,,,
1,139,,,46.1281623840332,,,
1,144,,,40.175048828125,,,
1,149,,,40.81088638305664,,,
1,153,,,,,43.351402282714844,43.351402282714844
1,153,,43.151309967041016,,43.151309967041016,,
2,154,,,47.557411193847656,,,
2,159,,,44.79043197631836,,,
2,164,,,43.44768524169922,,,
2,169,,,45.657997131347656,,,
2,174,,,44.49898147583008,,,
2,179,,,43.46654510498047,,,
2,184,,,42.18699645996094,,,
2,189,,,45.374908447265625,,,
2,194,,,45.81013870239258,,,
2,199,,,40.88207244873047,,,
2,204,,,43.22392272949219,,,
2,209,,,42.27318572998047,,,
2,214,,,40.61471939086914,,,
2,219,,,41.81895065307617,,,
2,224,,,42.75169372558594,,,
2,229,,,40.08039855957031,,,
2,230,,,,,42.982810974121094,42.982810974121094
2,230,,42.74501419067383,,42.74501419067383,,
3,234,,,40.73664093017578,,,
3,239,,,36.73618698120117,,,
3,244,,,44.300621032714844,,,
3,249,,,46.121803283691406,,,
3,254,,,41.15981674194336,,,
3,259,,,47.63412094116211,,,
3,264,,,40.6456184387207,,,
3,269,,,39.47455596923828,,,
3,274,,,40.79130554199219,,,
3,279,,,39.4964714050293,,,
3,284,,,41.76872253417969,,,
3,289,,,41.59959411621094,,,
3,294,,,38.44973373413086,,,
3,299,,,41.92039489746094,,,
3,304,,,41.29125213623047,,,
3,307,,,,,42.495018005371094,42.495018005371094
3,307,,42.40113067626953,,42.40113067626953,,
4,309,,,43.63011932373047,,,
4,314,,,42.87004089355469,,,
4,319,,,36.90875244140625,,,
4,324,,,40.89262390136719,,,
4,329,,,43.85905456542969,,,
4,334,,,44.73393249511719,,,
4,339,,,43.08576965332031,,,
4,344,,,40.909393310546875,,,
4,349,,,42.149879455566406,,,
4,354,,,41.790714263916016,,,
4,359,,,38.43281173706055,,,
4,364,,,41.862953186035156,,,
4,369,,,41.29505920410156,,,
4,374,,,42.8748779296875,,,
4,379,,,38.874359130859375,,,
4,384,,,43.41542053222656,,,
4,384,,,,,41.901206970214844,41.901206970214844
4,384,,41.903385162353516,,41.903385162353516,,
5,389,,,41.5428581237793,,,
5,394,,,41.86918258666992,,,
5,399,,,40.470985412597656,,,
5,404,,,39.425392150878906,,,
5,409,,,39.78980255126953,,,
5,414,,,42.1173095703125,,,
5,419,,,41.873531341552734,,,
5,424,,,38.72422790527344,,,
5,429,,,37.31928253173828,,,
5,434,,,43.775550842285156,,,
5,439,,,44.01066970825195,,,
5,444,,,40.90424346923828,,,
5,449,,,42.60877227783203,,,
5,454,,,37.91889190673828,,,
5,459,,,43.0098876953125,,,
5,461,,,,,41.43280029296875,41.43280029296875
5,461,,41.44423294067383,,41.44423294067383,,
6,464,,,41.64030838012695,,,
6,469,,,40.94163513183594,,,
6,474,,,41.21614074707031,,,
6,479,,,39.79047393798828,,,
6,484,,,43.372955322265625,,,
6,489,,,44.03616714477539,,,
6,494,,,38.1258544921875,,,
6,499,,,37.99732208251953,,,
6,504,,,37.75175857543945,,,
6,509,,,41.2969970703125,,,
6,514,,,36.58270263671875,,,
6,519,,,42.78483963012695,,,
6,524,,,38.57038497924805,,,
6,529,,,41.701171875,,,
6,534,,,38.546897888183594,,,
6,538,,,,,41.01118850708008,41.01118850708008
6,538,,40.9383544921875,,40.9383544921875,,
7,539,,,36.43589782714844,,,
7,544,,,39.02876281738281,,,
7,549,,,43.5014533996582,,,
7,554,,,38.863365173339844,,,
7,559,,,40.88344955444336,,,
7,564,,,42.609535217285156,,,
7,569,,,42.70464324951172,,,
7,574,,,39.49967575073242,,,
7,579,,,39.34819793701172,,,
7,584,,,43.38167953491211,,,
7,589,,,38.329044342041016,,,
7,594,,,42.408424377441406,,,
7,599,,,37.05406188964844,,,
7,604,,,41.202247619628906,,,
7,609,,,38.76683044433594,,,
7,614,,,39.09287643432617,,,
7,615,,,,,40.61189270019531,40.61189270019531
7,615,,40.52075958251953,,40.52075958251953,,
8,619,,,40.417686462402344,,,
8,624,,,39.45886993408203,,,
8,629,,,38.04234313964844,,,
8,634,,,40.60905456542969,,,
8,639,,,42.580078125,,,
8,644,,,39.385101318359375,,,
8,649,,,40.21438217163086,,,
8,654,,,40.13694763183594,,,
8,659,,,38.554107666015625,,,
8,664,,,39.572181701660156,,,
8,669,,,41.198974609375,,,
8,674,,,40.49269104003906,,,
8,679,,,36.98078155517578,,,
8,684,,,40.419715881347656,,,
8,689,,,40.205535888671875,,,
8,692,,,,,40.1993522644043,40.1993522644043
8,692,,40.04357147216797,,40.04357147216797,,
9,694,,,39.03169250488281,,,
9,699,,,36.99824142456055,,,
9,704,,,38.6784553527832,,,
9,709,,,37.04923629760742,,,
9,714,,,41.657958984375,,,
9,719,,,36.85758972167969,,,
9,724,,,43.79441833496094,,,
9,729,,,38.866512298583984,,,
9,734,,,38.85195541381836,,,
9,739,,,39.916648864746094,,,
9,744,,,38.293212890625,,,
9,749,,,38.977867126464844,,,
9,754,,,37.25535202026367,,,
9,759,,,41.41368103027344,,,
9,764,,,40.261837005615234,,,
9,769,,,37.37175750732422,,,
9,769,,,,,39.712371826171875,39.712371826171875
9,769,,39.53400802612305,,39.53400802612305,,
10,774,,,40.02210998535156,,,
10,779,,,39.436302185058594,,,
10,784,,,37.15423583984375,,,
10,789,,,40.85355758666992,,,
10,794,,,37.8004150390625,,,
10,799,,,39.78173065185547,,,
10,804,,,40.40725326538086,,,
10,809,,,39.696109771728516,,,
10,814,,,40.14433288574219,,,
10,819,,,36.66643524169922,,,
10,824,,,40.24262619018555,,,
10,829,,,41.258628845214844,,,
10,834,,,37.24109649658203,,,
10,839,,,40.62517547607422,,,
10,844,,,36.85573959350586,,,
10,846,,,,,39.353065490722656,39.353065490722656
10,846,,38.9960823059082,,38.9960823059082,,
11,849,,,41.830833435058594,,,
11,854,,,41.52269744873047,,,
11,859,,,37.58517074584961,,,
11,864,,,42.34661102294922,,,
11,869,,,40.384674072265625,,,
11,874,,,39.8226432800293,,,
11,879,,,37.910465240478516,,,
11,884,,,41.980812072753906,,,
11,889,,,41.17455291748047,,,
11,894,,,41.45078659057617,,,
11,899,,,37.034881591796875,,,
11,904,,,37.93254089355469,,,
11,909,,,36.810218811035156,,,
11,914,,,38.835636138916016,,,
11,919,,,38.19741439819336,,,
11,923,,,,,38.89304733276367,38.89304733276367
11,923,,38.42224884033203,,38.42224884033203,,
12,924,,,38.54010772705078,,,
12,929,,,38.10942840576172,,,
12,934,,,37.49094009399414,,,
12,939,,,34.93140411376953,,,
12,944,,,40.18727111816406,,,
12,949,,,39.517845153808594,,,
12,954,,,35.436279296875,,,
12,959,,,39.76556396484375,,,
12,964,,,37.186119079589844,,,
12,969,,,37.071014404296875,,,
12,974,,,38.14369201660156,,,
12,979,,,39.75366973876953,,,
12,984,,,34.08872985839844,,,
12,989,,,38.274147033691406,,,
12,994,,,35.6427001953125,,,
12,999,,,41.444698333740234,,,
12,1000,,,,,38.25872802734375,38.25872802734375
12,1000,,37.86846160888672,,37.86846160888672,,
13,1004,,,35.727134704589844,,,
13,1009,,,39.935462951660156,,,
13,1014,,,36.611717224121094,,,
13,1019,,,36.45154571533203,,,
13,1024,,,38.933013916015625,,,
13,1029,,,36.35415267944336,,,
13,1034,,,34.921905517578125,,,
13,1039,,,40.617530822753906,,,
13,1044,,,33.89833068847656,,,
13,1049,,,36.9332275390625,,,
13,1054,,,38.58131408691406,,,
13,1059,,,37.98164367675781,,,
13,1064,,,38.072967529296875,,,
13,1069,,,37.6292610168457,,,
13,1074,,,35.72726821899414,,,
13,1077,,,,,37.648067474365234,37.648067474365234
13,1077,,37.286865234375,,37.286865234375,,
14,1079,,,37.12184143066406,,,
14,1084,,,35.37751007080078,,,
14,1089,,,36.867347717285156,,,
14,1094,,,36.07557678222656,,,
14,1099,,,39.222442626953125,,,
14,1104,,,35.76423645019531,,,
14,1109,,,37.817787170410156,,,
14,1114,,,38.50443649291992,,,
14,1119,,,34.26771545410156,,,
14,1124,,,35.914852142333984,,,
14,1129,,,39.916595458984375,,,
