epoch,step,test_mae,train_loss_epoch,train_loss_step,train_mae,val_loss,val_mae
0,4,,,38.649723052978516,,,
0,9,,,49.23957061767578,,,
0,10,,,,,43.98820495605469,44.48820114135742
0,10,,41.067684173583984,,41.567684173583984,,
1,14,,,40.02608871459961,,,
1,19,,,46.19959259033203,,,
1,21,,,,,43.94889831542969,44.44889831542969
1,21,,41.30482864379883,,41.80482864379883,,
2,24,,,46.18993377685547,,,
2,29,,,39.91401672363281,,,
2,32,,,,,43.91393280029297,44.41393280029297
2,32,,40.897159576416016,,41.397159576416016,,
3,34,,,45.3345947265625,,,
3,39,,,30.31689453125,,,
3,43,,,,,43.87974548339844,44.37974548339844
3,43,,41.890655517578125,,42.390655517578125,,
4,44,,,44.42376708984375,,,
4,49,,,34.452247619628906,,,
4,54,,,43.69548034667969,,,
4,54,,,,,43.843143463134766,44.343143463134766
4,54,,40.56996154785156,,41.06996154785156,,
5,59,,,41.99945068359375,,,
5,64,,,36.90995788574219,,,
5,65,,,,,43.799495697021484,44.299495697021484
5,65,,41.4445686340332,,41.9445686340332,,
6,69,,,47.065704345703125,,,
6,74,,,39.624847412109375,,,
6,76,,,,,43.74505615234375,44.24505615234375
6,76,,40.757144927978516,,41.257144927978516,,
7,79,,,45.82789611816406,,,
7,84,,,37.81126403808594,,,
7,87,,,,,43.674354553222656,44.174354553222656
7,87,,41.09490966796875,,41.59490966796875,,
8,89,,,48.995361328125,,,
8,94,,,37.96131896972656,,,
8,98,,,,,43.582130432128906,44.082130432128906
8,98,,40.94765853881836,,41.44765853881836,,
9,99,,,36.04441833496094,,,
9,104,,,38.49359130859375,,,
9,109,,,41.952423095703125,,,
9,109,,,,,43.464107513427734,43.964107513427734
9,109,,40.46841049194336,,40.96841049194336,,
10,114,,,41.9261474609375,,,
10,119,,,44.74774169921875,,,
10,120,,,,,43.313323974609375,43.813323974609375
10,120,,40.71959686279297,,41.21959686279297,,
11,124,,,41.54754638671875,,,
11,129,,,39.97100830078125,,,
11,131,,,,,43.12101745605469,43.62101745605469
11,131,,40.76036071777344,,41.26036071777344,,
12,134,,,43.715423583984375,,,
12,139,,,45.74700927734375,,,
12,142,,,,,42.9033203125,43.4033203125
12,142,,40.84403991699219,,41.34403991699219,,
13,144,,,49.340545654296875,,,
13,149,,,37.452789306640625,,,
13,153,,,,,42.602909088134766,43.102909088134766
13,153,,39.28538513183594,,39.78538513183594,,
14,154,,,39.18695068359375,,,
14,159,,,38.94970703125,,,
14,164,,,53.75531005859375,,,
14,164,,,,,42.224891662597656,42.724891662597656
14,164,,39.729496002197266,,40.229496002197266,,
15,169,,,42.4139404296875,,,
15,174,,,45.1636962890625,,,
15,175,,,,,41.75648880004883,42.25648880004883
15,175,,39.07897186279297,,39.57897186279297,,
16,179,,,39.5125732421875,,,
16,184,,,29.8101806640625,,,
16,186,,,,,41.24644088745117,41.74644088745117
16,186,,38.37944412231445,,38.87944412231445,,
17,189,,,40.276123046875,,,
17,194,,,41.74951171875,,,
17,197,,,,,40.57564926147461,41.07564926147461
17,197,,38.546512603759766,,39.046512603759766,,
18,199,,,36.698974609375,,,
18,204,,,34.7955322265625,,,
18,208,,,,,39.7778205871582,40.2778205871582
18,208,,36.69487380981445,,37.19487380981445,,
19,209,,,37.7509765625,,,
19,214,,,43.858154296875,,,
19,219,,,25.99853515625,,,
19,219,,,,,38.83602523803711,39.33602523803711
19,219,,36.66706848144531,,37.16706848144531,,
20,224,,,33.755859375,,,
20,229,,,34.795654296875,,,
20,230,,,,,37.73654556274414,38.23654556274414
20,230,,35.225650787353516,,35.725650787353516,,
21,234,,,40.561279296875,,,
21,239,,,25.84619140625,,,
21,241,,,,,36.60078048706055,37.10078048706055
21,241,,33.850807189941406,,34.350807189941406,,
22,244,,,35.36474609375,,,
22,249,,,31.4287109375,,,
22,252,,,,,35.153778076171875,35.65234375
22,252,,32.37286376953125,,32.8723258972168,,
23,254,,,34.190673828125,,,
23,259,,,33.352294921875,,,
23,263,,,,,33.57841873168945,34.07621383666992
23,263,,31.276384353637695,,31.775169372558594,,
24,264,,,28.85986328125,,,
24,269,,,27.4482421875,,,
24,274,,,28.2138671875,,,
24,274,,,,,31.93511199951172,32.43021011352539
24,274,,28.888288497924805,,29.387939453125,,
25,279,,,36.93896484375,,,
25,284,,,24.604082107543945,,,
25,285,,,,,30.208984375,30.70833396911621
25,285,,27.797868728637695,,28.295543670654297,,
26,289,,,25.54296875,,,
26,294,,,24.99951171875,,,
26,296,,,,,28.55063247680664,29.049652099609375
26,296,,25.763063430786133,,26.253217697143555,,
27,299,,,22.38343048095703,,,
27,304,,,21.3583984375,,,
27,307,,,,,26.699676513671875,27.187326431274414
27,307,,23.688322067260742,,24.17902183532715,,
28,309,,,25.31103515625,,,
28,314,,,34.13671875,,,
28,318,,,,,25.01961898803711,25.51961898803711
28,318,,21.8442440032959,,22.343660354614258,,
29,319,,,19.5107421875,,,
29,324,,,20.134864807128906,,,
29,329,,,16.04443359375,,,
29,329,,,,,23.25520896911621,23.75520896911621
29,329,,20.15733528137207,,20.653409957885742,,
30,334,,,21.841796875,,,
30,339,,,19.5556640625,,,
30,340,,,,,21.359933853149414,21.846874237060547
30,340,,18.336668014526367,,18.830921173095703,,
31,344,,,19.1396484375,,,
31,349,,,18.726470947265625,,,
31,351,,,,,19.594791412353516,20.094791412353516
31,351,,17.068769454956055,,17.5595703125,,
32,354,,,16.03515625,,,
32,359,,,20.7041015625,,,
32,362,,,,,17.920583724975586,18.41145896911621
32,362,,15.234638214111328,,15.727849960327148,,
33,364,,,14.8935546875,,,
33,369,,,11.825935363769531,,,
33,373,,,,,16.56043815612793,17.0402774810791
33,373,,14.523512840270996,,15.020241737365723,,
34,374,,,12.466796875,,,
34,379,,,16.0859375,,,
34,384,,,12.900154113769531,,,
34,384,,,,,15.51315689086914,15.985763549804688
34,384,,12.138294219970703,,12.632190704345703,,
35,389,,,17.5216064453125,,,
35,394,,,12.445831298828125,,,
35,395,,,,,14.852745056152344,15.32986068725586
35,395,,12.537067413330078,,13.033069610595703,,
36,399,,,8.072273254394531,,,
36,404,,,8.305206298828125,,,
36,406,,,,,14.441829681396484,14.925000190734863
36,406,,12.279766082763672,,12.766068458557129,,
37,409,,,15.62060546875,,,
37,414,,,9.016876220703125,,,
37,417,,,,,14.139246940612793,14.627083778381348
37,417,,11.706048965454102,,12.196244239807129,,
38,419,,,11.986328125,,,
38,424,,,15.7247314453125,,,
38,428,,,,,13.864556312561035,14.34826374053955
38,428,,12.136757850646973,,12.626864433288574,,
39,429,,,8.186653137207031,,,
39,434,,,9.749053955078125,,,
39,439,,,17.366607666015625,,,
39,439,,,,,13.62488079071045,14.10763931274414
39,439,,11.226996421813965,,11.713423728942871,,
40,444,,,13.181137084960938,,,
40,449,,,10.685089111328125,,,
40,450,,,,,13.430458068847656,13.919096946716309
40,450,,10.4591703414917,,10.948019981384277,,
41,454,,,12.3907470703125,,,
41,459,,,10.823272705078125,,,
41,461,,,,,13.263280868530273,13.750694274902344
41,461,,10.412291526794434,,10.898482322692871,,
42,464,,,6.786598205566406,,,
42,469,,,8.1513671875,,,
42,472,,,,,13.134843826293945,13.625347137451172
42,472,,10.01732063293457,,10.505725860595703,,
43,474,,,8.8828125,,,
43,479,,,7.3440704345703125,,,
43,483,,,,,13.052281379699707,13.53125
43,483,,10.496185302734375,,10.977627754211426,,
44,484,,,11.5821533203125,,,
44,489,,,6.939888000488281,,,
44,494,,,8.98907470703125,,,
44,494,,,,,12.940486907958984,13.425347328186035
44,494,,9.785452842712402,,10.265003204345703,,
45,499,,,10.5528564453125,,,
45,504,,,10.803985595703125,,,
45,505,,,,,12.877099990844727,13.362847328186035
45,505,,9.911158561706543,,10.402521133422852,,
46,509,,,7.00439453125,,,
46,514,,,10.775390625,,,
46,516,,,,,12.826229095458984,13.31423568725586
46,516,,9.97658634185791,,10.463423728942871,,
47,519,,,10.8980712890625,,,
47,524,,,9.490478515625,,,
47,527,,,,,12.746562957763672,13.230208396911621
47,527,,9.72512149810791,,10.21630859375,,
48,529,,,8.125862121582031,,,
48,534,,,6.35723876953125,,,
48,538,,,,,12.68347454071045,13.171875
48,538,,9.567703247070312,,10.058638572692871,,
49,539,,,6.93115234375,,,
49,544,,,15.1845703125,,,
49,549,,,7.8359375,,,
49,549,,,,,12.608105659484863,13.101736068725586
49,549,,9.080575942993164,,9.567826271057129,,
50,554,,,9.000801086425781,,,
50,559,,,10.240020751953125,,,
50,560,,,,,12.54433822631836,13.040624618530273
50,560,,8.578669548034668,,9.067160606384277,,
51,564,,,7.210578918457031,,,
51,569,,,10.285736083984375,,,
51,571,,,,,12.467320442199707,12.962499618530273
51,571,,8.882303237915039,,9.358575820922852,,
52,574,,,7.932807922363281,,,
52,579,,,5.287544250488281,,,
52,582,,,,,12.40713119506836,12.890625
52,582,,8.730698585510254,,9.21533203125,,
53,584,,,6.865509033203125,,,
53,589,,,8.281280517578125,,,
53,593,,,,,12.375707626342773,12.864235877990723
53,593,,9.264179229736328,,9.749600410461426,,
54,594,,,6.9130859375,,,
54,599,,,6.3653717041015625,,,
54,604,,,15.3095703125,,,
54,604,,,,,12.345629692077637,12.837326049804688
54,604,,9.917530059814453,,10.408602714538574,,
55,609,,,9.2763671875,,,
55,614,,,8.092071533203125,,,
55,615,,,,,12.304071426391602,12.798958778381348
