epoch,step,test_mae,train_loss_epoch,train_loss_step,train_mae,val_loss,val_mae
0,49,,,34.515777587890625,,,
0,76,,,,,29.045612335205078,29.542903900146484
0,76,,36.91987991333008,,37.41877365112305,,
1,99,,,25.932636260986328,,,
1,149,,,22.963638305664062,,,
1,153,,,,,21.57858657836914,22.07172966003418
1,153,,24.514259338378906,,25.008981704711914,,
2,199,,,15.614448547363281,,,
2,230,,,,,17.693864822387695,18.184581756591797
2,230,,16.190715789794922,,16.681236267089844,,
3,249,,,10.50511360168457,,,
3,299,,,9.341107368469238,,,
3,307,,,,,13.707611083984375,14.196025848388672
3,307,,11.666980743408203,,12.15214729309082,,
4,349,,,8.083704948425293,,,
4,384,,,,,13.16666316986084,13.656558990478516
4,384,,8.655444145202637,,9.137693405151367,,
5,399,,,9.757272720336914,,,
5,449,,,6.0485100746154785,,,
5,461,,,,,12.060832977294922,12.550415992736816
5,461,,6.754057884216309,,7.233977794647217,,
6,499,,,5.7068071365356445,,,
6,538,,,,,11.458518981933594,11.94867992401123
6,538,,5.411556720733643,,5.889044284820557,,
7,549,,,4.450740814208984,,,
7,599,,,3.8860387802124023,,,
7,615,,,,,11.086811065673828,11.576475143432617
7,615,,4.6172685623168945,,5.089858055114746,,
8,649,,,4.694907188415527,,,
8,692,,,,,11.139739036560059,11.628209114074707
8,692,,4.044312477111816,,4.5149664878845215,,
9,699,,,3.0898256301879883,,,
9,749,,,3.665996551513672,,,
9,769,,,,,10.905559539794922,11.394618034362793
9,769,,3.673994541168213,,4.143116474151611,,
10,799,,,2.5731797218322754,,,
10,846,,,,,10.618016242980957,11.108434677124023
10,846,,3.350965976715088,,3.815098762512207,,
11,849,,,3.049077272415161,,,
11,899,,,2.7242183685302734,,,
11,923,,,,,10.792086601257324,11.280169486999512
11,923,,3.147376298904419,,3.610945224761963,,
12,949,,,2.8529369831085205,,,
12,999,,,3.300966739654541,,,
12,1000,,,,,10.602620124816895,11.090794563293457
12,1000,,3.0066628456115723,,3.469799518585205,,
13,1049,,,2.556180000305176,,,
13,1077,,,,,10.56303596496582,11.051759719848633
13,1077,,2.986514091491699,,3.4514715671539307,,
14,1099,,,2.6819686889648438,,,
14,1149,,,3.7000646591186523,,,
14,1154,,,,,10.323332786560059,10.810513496398926
14,1154,,2.6913998126983643,,3.1521642208099365,,
15,1199,,,2.030428647994995,,,
15,1231,,,,,10.445572853088379,10.932682037353516
15,1231,,2.7234480381011963,,3.1824142932891846,,
16,1249,,,2.9588217735290527,,,
16,1299,,,2.8774309158325195,,,
16,1308,,,,,10.35719108581543,10.846513748168945
16,1308,,2.7464375495910645,,3.2053604125976562,,
17,1349,,,2.5803565979003906,,,
17,1385,,,,,10.340315818786621,10.826871871948242
17,1385,,2.5313611030578613,,2.988973379135132,,
18,1399,,,2.848155975341797,,,
18,1449,,,3.9184587001800537,,,
18,1462,,,,,10.211153984069824,10.698257446289062
18,1462,,2.5329573154449463,,2.9927639961242676,,
19,1499,,,2.259753942489624,,,
19,1539,,,,,10.255634307861328,10.744399070739746
19,1539,,2.3825314044952393,,2.8385188579559326,,
20,1549,,,2.466334342956543,,,
20,1599,,,1.7434595823287964,,,
20,1616,,,,,10.183120727539062,10.672083854675293
20,1616,,2.3915762901306152,,2.846024751663208,,
21,1649,,,2.1760129928588867,,,
21,1693,,,,,10.17176628112793,10.660075187683105
21,1693,,2.3798022270202637,,2.8348207473754883,,
22,1699,,,2.680962324142456,,,
22,1749,,,2.000882148742676,,,
22,1770,,,,,10.595450401306152,11.083847045898438
22,1770,,2.4646987915039062,,2.9202561378479004,,
23,1799,,,4.129961013793945,,,
23,1847,,,,,10.387628555297852,10.87553882598877
23,1847,,2.2675399780273438,,2.7208621501922607,,
24,1849,,,1.5631177425384521,,,
24,1899,,,1.8524256944656372,,,
24,1924,,,,,10.181795120239258,10.6688871383667
24,1924,,2.3021583557128906,,2.754714250564575,,
25,1925,10.654814720153809,,,,,
